Tweet,sentiment,column3
@RahulGandhi RahulGhandhi ji aap Philmi sitaro sab se aap bhi mile Narender modi jis tarah mil raha hai aap bhi mile kuchh damag lagay,"Sentiment(polarity=0.0, subjectivity=0.0)",
"RT @Babble524: #ModiVsPakistan
How Narender Modi ji is deweeding India 
By :-","Sentiment(polarity=0.0, subjectivity=0.0)",
RT @RPArora4: @Pratyangira1 Narender modi jesa prime minister milna is Desh ka sobhgay h..,"Sentiment(polarity=0.0, subjectivity=0.0)",
"RT @rssurjewala: Pl watch Trailor- 

A day in the life of ‘Poster Boy’ for ‘Bank Fraudsters Settlement Scheme abroad’!

Director &amp; Producer…","Sentiment(polarity=0.0, subjectivity=0.0)",
@Pratyangira1 Narender modi jesa prime minister milna is Desh ka sobhgay h..,"Sentiment(polarity=0.0, subjectivity=0.0)",
"Bilkul thk kaha Apne .phir bhi horse riding,vohi Rajniti ka Ganda Khel,ab nhi chahie Alibaba or chalees choro wali… https://t.co/vN0CUpfsh4","Sentiment(polarity=0.0, subjectivity=0.0)",
@aliaa08 Me vote for Narender Modi ji,"Sentiment(polarity=0.0, subjectivity=0.0)",
@ImNatri @BJP4Himachal @PavanRanaRSS @ianuragthakur @jairamthakurbjp @DhumalHP @TIRATHSRAWAT @PMOIndia… https://t.co/WqqIbqnuI3,"Sentiment(polarity=0.0, subjectivity=0.0)",
@Polytikle Sir ye bjp wale bahut bada wala gadha hai inko sarm Nahi ataa #jumlawaadinarendraModi jumla waadi Narend… https://t.co/HgDRP5Cl2D,"Sentiment(polarity=0.0, subjectivity=0.0)",
RT @Sultan_muaviya: @ValuesTrue @viveksinghpali1 @buddha2019 @smritiirani Namo No more Again Gujrat Ka Qatil RSS nagpur Narender modi No mo…,"Sentiment(polarity=-0.25, subjectivity=0.5)",
"RT @RammeharDabla: Accidental PM: Narender Modi

Accidental Wife :Jashodaben

Accidental Child : SambitPatra

Accidental Female: SmiritIran…","Sentiment(polarity=0.0, subjectivity=0.16666666666666666)",
RT @Sultan_muaviya: @ValuesTrue @viveksinghpali1 @buddha2019 @smritiirani Namo No more Again Gujrat Ka Qatil RSS nagpur Narender modi No mo…,"Sentiment(polarity=-0.25, subjectivity=0.5)",
@ValuesTrue @viveksinghpali1 @buddha2019 @smritiirani Namo No more Again Gujrat Ka Qatil RSS nagpur Narender modi N… https://t.co/rkgBQJkrE4,"Sentiment(polarity=-0.25, subjectivity=0.5)",
"@RahulGandhi In safe hand you mean Narender Modi.....""are baba clear bola karo , Desh Modi ji ke hath me safe hai""","Sentiment(polarity=0.19687500000000002, subjectivity=0.5177083333333333)",
@RahulGandhi Sir Hamare South mein Telangana Mein Ek Nara Humne banaya tha Rahul sahab ke liye liye Narender Modi p… https://t.co/6gXTvKDZhY,"Sentiment(polarity=0.0, subjectivity=0.0)",
